Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22pF,
"C10, C4, C7, C8",1206,4,10uF,
"C11, C13, C9",0805,3,22uF,
C12,0805,1,"0,1uF",
"C3, C5",0805,2,0.1uF,
C6,0805,1,100nF,
D1,SC-59_Handsoldering,1,AQ24CANA-02HTG,
D3,SOT-23-3,1,SML-LX15IGC-RP-TR,
D4,D_SMA_Handsoldering,1,P6SMB33CA,
"D5, D6",D_SMA_Handsoldering,2,S1D,
"FB2, FB3",0805,2,BLM21AG102SN1D,
IC1,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,
IC2,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,
IC3,Converter_DCDC_TRACO_TSR1-xxxxE_THT,1,TSR1-2433E,
IC4,Converter_DCDC_TRACO_TSR1-xxxxE_THT,1,TSR1-2450E,
"J1, J2",RJ45_Amphenol_RJHSE5380,2,RJ45,
J3,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
"J4, J5",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,2,Screw_Terminal_01x02,
J6,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,1,Screw_Terminal_01x03,
J7,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
K2,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,SANYOU_SRD_Form_C,
"R1, R14, R2, R3, R7, R8",0805,6,10K,
R10,0805,1,2K,
"R11, R12, R5",0805,3,22,
"R13, R6",0805,2,68,
"R19, R9",0805,2,1K,
R4,0805,1,100K,
"T1, T2",SOT-23,2,BC817-25-TP,
T3,SOT-23-3,1,BSN20-7,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
Y2,Crystal_SMD_HC49-SD,1,8MHz,
