Designator,Mid X,Mid Y,Rotation,Layer
C1,163.75,-97.75,180.0,top
C10,193.75,-86.25,90.0,top
C11,203.5,-88.5,0.0,top
C12,165.5,-82.556711,270.0,top
C13,164.5,-78.75,90.0,top
C2,168.75,-97.75,0.0,top
C3,197.5,-87.5,180.0,top
C4,197.5,-85.0,0.0,top
C5,197.5,-90.0,180.0,top
C6,206.75,-110.25,0.0,top
C7,195.5,-97.5,270.0,top
C8,197.25,-77.75,0.0,top
C9,189.5,-81.0,180.0,top
D1,197.5,-102.25,0.0,top
D3,189.639314,-87.491191,180.0,top
D4,209.5,-103.75,90.0,top
D5,206.0,-103.75,270.0,top
D6,208.5,-87.5,90.0,top
FB2,199.0,-97.5,270.0,top
FB3,199.0,-106.75,270.0,top
IC1,185.25,-101.0,270.0,top
IC2,175.5,-101.5,270.0,top
IC3,192.5,-92.5,0.0,bottom
IC4,192.5,-79.96,0.0,bottom
J1,167.83,-108.2775,180.0,bottom
J2,187.85,-108.2775,180.0,bottom
J3,156.0,-96.56,0.0,top
J4,167.75,-111.0325,180.0,bottom
J5,187.75,-111.0325,180.0,bottom
J6,202.5,-106.0,270.0,bottom
J7,159.51937,-86.843633,0.0,bottom
K2,203.475,-88.4,90.0,bottom
R1,206.0,-80.5,90.0,top
R10,162.25,-82.5,270.0,top
R11,163.0,-92.25,180.0,top
R12,189.0,-95.5,0.0,top
R13,189.5,-90.5,0.0,top
R14,162.5,-78.75,90.0,top
R19,203.5,-91.5,180.0,top
R2,191.5,-101.0,90.0,top
R3,159.5,-77.75,0.0,top
R4,189.5,-78.0,0.0,top
R5,189.0,-93.0,0.0,top
R6,189.5,-84.0,180.0,top
R7,163.0,-88.25,180.0,top
R8,163.0,-90.25,0.0,top
R9,159.657317,-97.75,0.0,top
T1,163.75,-85.343003,270.0,top
T2,163.5,-95.0,180.0,top
T3,203.5,-84.5,180.0,top
U1,176.5,-86.116148,0.0,top
Y2,164.75,-101.75,0.0,top
